0.00	0.1713295476	0.3940575187	0.5000000000	5.1051489321	0.7445207872	4.8364022480	0.5983369690	0.2687466840	0.1461838182	0.000000E+00	0.000000E+00	0.2618702500	0.1381215271	0.000000E+00	0.000000E+00	0.0068764340	0.0080622911	0.000000E+00	0.000000E+00	0.3735447976	5.4194210664	4067.0000000000	0.2071822906	0.0120934367	0.2192757273
1.00	0.1713364435	0.3940548240	0.5000000000	5.1054098878	0.7445128545	4.8366727828	0.5983306865	0.2687371050	0.1461821680	0.000000E+00	0.000000E+00	0.2618606709	0.1381198836	0.000000E+00	0.000000E+00	0.0068764341	0.0080622844	0.000000E+00	0.000000E+00	0.3735467107	5.4193840421	4056.0000000000	0.2071809142	0.0121612055	0.2193421197
2.00	0.1713353656	0.3940516200	0.5000000000	5.1054342008	0.7445107245	4.8367730644	0.5983534440	0.2686611364	0.1461572804	0.000000E+00	0.000000E+00	0.2617847476	0.1380950599	0.000000E+00	0.000000E+00	0.0068763888	0.0080622205	0.000000E+00	0.000000E+00	0.3735474260	5.4193042934	4056.0000000000	0.2071909812	0.0121610771	0.2193520583
3.00	0.1713311528	0.3940544317	0.5000000000	5.1055794777	0.7445160144	4.8368703917	0.5983459383	0.2687090860	0.1461700761	0.000000E+00	0.000000E+00	0.2618330431	0.1381081619	0.000000E+00	0.000000E+00	0.0068760429	0.0080619142	0.000000E+00	0.000000E+00	0.3735477770	5.4190703597	4056.0000000000	0.2071805727	0.0121614402	0.2193420129
4.00	0.1713276990	0.3940568602	0.5000000000	5.1057169147	0.7445217803	4.8369923547	0.5983466195	0.2687245600	0.1461751608	0.000000E+00	0.000000E+00	0.2618498817	0.1381145773	0.000000E+00	0.000000E+00	0.0068746783	0.0080605835	0.000000E+00	0.000000E+00	0.3735470600	5.4180283244	4056.0000000000	0.2071739998	0.0121616311	0.2193356309
5.00	0.1713288730	0.3940587929	0.5000000000	5.1056253556	0.7445229976	4.8368793693	0.5983403757	0.2687459863	0.1461826219	0.000000E+00	0.000000E+00	0.2618703011	0.1381210761	0.000000E+00	0.000000E+00	0.0068756852	0.0080615458	0.000000E+00	0.000000E+00	0.3735464923	5.4188483939	4056.0000000000	0.2071692493	0.0121610700	0.2193303193
6.00	0.1713298585	0.3940581304	0.5000000000	5.1055785136	0.7445221297	4.8368358291	0.5983401736	0.2687426845	0.1461819561	0.000000E+00	0.000000E+00	0.2618665940	0.1381200220	0.000000E+00	0.000000E+00	0.0068760905	0.0080619341	0.000000E+00	0.000000E+00	0.3735472354	5.4191587517	4056.0000000000	0.2071729519	0.0121611228	0.2193340746
7.00	0.1713317620	0.3940563382	0.5000000000	5.1055320593	0.7445188991	4.8367886559	0.5983361511	0.2687434034	0.1461827480	0.000000E+00	0.000000E+00	0.2618667926	0.1381202978	0.000000E+00	0.000000E+00	0.0068766108	0.0080624502	0.000000E+00	0.000000E+00	0.3735476803	5.4195441787	4056.0000000000	0.2071794801	0.0121610417	0.2193405218
8.00	0.1713306440	0.3940558711	0.5000000000	5.1055847629	0.7445193874	4.8368461692	0.5983378424	0.2687385938	0.1461815450	0.000000E+00	0.000000E+00	0.2618622012	0.1381192906	0.000000E+00	0.000000E+00	0.0068763925	0.0080622544	0.000000E+00	0.000000E+00	0.3735473059	5.4193657097	4056.0000000000	0.2071780643	0.0121612598	0.2193393240
9.00	0.1713307955	0.3940565844	0.5000000000	5.1055703795	0.7445193138	4.8368357297	0.5983397678	0.2687346498	0.1461795460	0.000000E+00	0.000000E+00	0.2618582890	0.1381173323	0.000000E+00	0.000000E+00	0.0068763608	0.0080622137	0.000000E+00	0.000000E+00	0.3735465466	5.4193504980	4056.0000000000	0.2071764351	0.0121611495	0.2193375846
10.00	0.1713294568	0.3940568916	0.5000000000	5.1056121156	0.7445211360	4.8368709631	0.5983392161	0.2687411525	0.1461819199	0.000000E+00	0.000000E+00	0.2618649966	0.1381199016	0.000000E+00	0.000000E+00	0.0068761559	0.0080620183	0.000000E+00	0.000000E+00	0.3735471220	5.4191932311	4068.0000000000	0.2071749380	0.0121613173	0.2193362553
11.00	0.1713300477	0.3940567357	0.5000000000	5.1055837882	0.7445205211	4.8368449895	0.5983398651	0.2687387987	0.1461806560	0.000000E+00	0.000000E+00	0.2618626114	0.1381186182	0.000000E+00	0.000000E+00	0.0068761872	0.0080620378	0.000000E+00	0.000000E+00	0.3735475974	5.4192157936	4068.0000000000	0.2071766526	0.0121611927	0.2193378453
12.00	0.1713298788	0.3940570045	0.5000000000	5.1055990672	0.7445211173	4.8368536305	0.5983376917	0.2687454367	0.1461834256	0.000000E+00	0.000000E+00	0.2618692185	0.1381213485	0.000000E+00	0.000000E+00	0.0068762181	0.0080620771	0.000000E+00	0.000000E+00	0.3735474178	5.4192438365	4068.0000000000	0.2071744240	0.0121612250	0.2193356490
